Drive folder,Brand,Drive name,Images,Matched SKU,Matched product,How
NATIONAL/ARMLESS CHAIR/FLORANCE KOLKATA,NATIONAL,FLORANCE KOLKATA,20,,,NO MATCH
NATIONAL/ARMLESS CHAIR/GALAXY NAT PRM,NATIONAL,GALAXY NAT PRM,43,NP-NTL-053,Galaxy,exact
NATIONAL/ARMLESS CHAIR/IMPERIAL SOFA NAT PRM,NATIONAL,IMPERIAL SOFA NAT PRM,35,NP-NTL-061,Imperial Sofa,exact
NATIONAL/ARMLESS CHAIR/IMPERIAL SOFA V.NAT,NATIONAL,IMPERIAL SOFA V.NAT,3,NP-NTL-061,Imperial Sofa,spelling-2
NATIONAL/ARMLESS CHAIR/LILY(NEW FLORANCE KOLKATA),NATIONAL,LILY(NEW FLORANCE KOLKATA),56,,,NO MATCH
NATIONAL/ARMLESS CHAIR/NEW FLORENCE NAT,NATIONAL,NEW FLORENCE NAT,23,NP-NTL-064,New Florence,exact
NATIONAL/ARMLESS CHAIR/OLD FLORENCE NAT,NATIONAL,OLD FLORENCE NAT,31,NP-NTL-063,Old Florence,exact
NATIONAL/ARMLESS CHAIR/OLD NATIONAL,NATIONAL,OLD NATIONAL,4326,,,NO MATCH
NATIONAL/ARMLESS CHAIR/OMEGA,NATIONAL,OMEGA,32,NP-NTL-056,Omega,exact
NATIONAL/ARMLESS CHAIR/PERFECT,NATIONAL,PERFECT,23,NP-NTL-067,Perfect,exact
NATIONAL/ARMLESS CHAIR/SPEED,NATIONAL,SPEED,21,NP-NTL-055,Speed,exact
NATIONAL/ARMLESS CHAIR/TURBO NAT,NATIONAL,TURBO NAT,23,NP-NTL-060,Turbo,exact
NATIONAL/ARMLESS CHAIR/VISION NAT,NATIONAL,VISION NAT,21,NP-NTL-054,Vision,exact
NATIONAL/METALIC/ACTIVA,NATIONAL,ACTIVA,4,NP-NTL-058,Activa,exact
NATIONAL/METALIC/COROLLA,NATIONAL,COROLLA,4,,,NO MATCH
NATIONAL/METALIC/DAYLIGHT,NATIONAL,DAYLIGHT,16,NP-NTL-048,Daylight,exact
NATIONAL/METALIC/DELIGHT,NATIONAL,DELIGHT,4,NP-NTL-048,Daylight,spelling-2
NATIONAL/METALIC/DOLLY,NATIONAL,DOLLY,4,,,NO MATCH
NATIONAL/METALIC/ECHO,NATIONAL,ECHO,4,NP-NTL-062,Echo,exact
NATIONAL/METALIC/GLOBE,NATIONAL,GLOBE,4,,,NO MATCH
NATIONAL/METALIC/IMPERIAL SOFA,NATIONAL,IMPERIAL SOFA,7,NP-NTL-061,Imperial Sofa,exact
NATIONAL/METALIC/KOLKATA NEW FLORANCE,NATIONAL,KOLKATA NEW FLORANCE,4,,,NO MATCH
NATIONAL/METALIC/SOFA,NATIONAL,SOFA,4,,,NO MATCH
NATIONAL/METALIC/SONIC,NATIONAL,SONIC,9,NP-NTL-038,Sonic,exact
NATIONAL/STOOL/Comet,NATIONAL,Comet,34,NP-NTL-079,Comet,exact
NATIONAL/STOOL/ENLARGE STOOL NAT,NATIONAL,ENLARGE STOOL NAT,26,,,NO MATCH
NATIONAL/STOOL/JAVA STOOL NAT,NATIONAL,JAVA STOOL NAT,32,,,NO MATCH
NATIONAL/STOOL/Jimmy Premium Stool,NATIONAL,Jimmy Premium Stool,33,,,NO MATCH
NATIONAL/STOOL/MARS STOOL,NATIONAL,MARS STOOL,28,,,NO MATCH
NATIONAL/STOOL/MIRACLE,NATIONAL,MIRACLE,20,,,NO MATCH
NATIONAL/STOOL/RHINO STOOL,NATIONAL,RHINO STOOL,10,,,NO MATCH
NATIONAL/STOOL/ROZY,NATIONAL,ROZY,10,,,NO MATCH
NATIONAL/STOOL/SATURN STOOL,NATIONAL,SATURN STOOL,24,,,NO MATCH
NATIONAL/STOOL/scale,NATIONAL,scale,40,NP-NTL-075,Scale,exact
NATIONAL/STOOL/SWIFT STOOL,NATIONAL,SWIFT STOOL,14,,,NO MATCH
NATIONAL/Table/ASTOR,NATIONAL,ASTOR,12,NP-NTL-088,Astor,exact
NATIONAL/Table/FLORA,NATIONAL,FLORA,26,NP-NTL-096,Flora,exact
NATIONAL/Table/FLORIDA,NATIONAL,FLORIDA,4,NP-NTL-102,Florida,exact
NATIONAL/Table/FLORIDA SUPERIOR,NATIONAL,FLORIDA SUPERIOR,10,NP-NTL-103,Florida Superior,exact
NATIONAL/Table/Giraff,NATIONAL,Giraff,4,,,NO MATCH
NATIONAL/Table/GIRAFFE,NATIONAL,GIRAFFE,22,,,NO MATCH
NATIONAL/Table/GLANCE,NATIONAL,GLANCE,5,NP-NTL-101,Glance,exact
NATIONAL/Table/JAZZ,NATIONAL,JAZZ,6,NP-NTL-085,Jazz,exact
NATIONAL/Table/JAZZ PRO,NATIONAL,JAZZ PRO,25,NP-NTL-086,Jazz Pro,exact
